N;Municipio;CD_GEOCMU;x;y;CodIBGE;Município;Populacao;Analfabetismo;TerFundamental;TerMedio;FunMedio;IFSC;IFC;CAMPUS
0;ABDON BATISTA;4200051;-51,0563;-27,58408;4200051;Abdon Batista;2653;10,54;93;29;122;;;NA
1;ABELARDO LUZ;4200101;-52,25594;-26,56231;4200101;Abelardo Luz;17100;11,76;392;149;541;;1;IFC
2;AGROLÂNDIA;4200200;-49,82441;-27,45469;4200200;Agrolândia;9328;6,51;206;100;306;;;NA
3;AGRONÔMICA;4200309;-49,72042;-27,32716;4200309;Agronômica;4901;6,55;90;60;150;;;NA
4;ÁGUA DOCE;4200408;-51,6123;-26,76454;4200408;Água Doce;6960;8,79;171;88;259;;;NA
5;ÁGUAS DE CHAPECÓ;4200507;-52,95671;-27,05441;4200507;Águas de Chapecó;6109;6,82;132;50;182;;;NA
6;ÁGUAS FRIAS;4200556;-52,85271;-26,85187;4200556;Águas Frias;2424;8,11;66;30;96;;;NA
7;ÁGUAS MORNAS;4200606;-48,93639;-27,73309;4200606;Águas Mornas;5546;6,74;125;63;188;;;NA
8;ALFREDO WAGNER;4200705;-49,33135;-27,70568;4200705;Alfredo Wagner;9410;10,52;192;83;275;;;NA
9;ALTO BELA VISTA;4200754;-51,9258;-27,42141;4200754;Alto Bela Vista;2005;4,59;18;25;43;;;NA
10;ANCHIETA;4200804;-53,33231;-26,53256;4200804;Anchieta;6378;7,64;161;80;241;;;NA
11;ANGELINA;4200903;-49,06729;-27,54297;4200903;Angelina;5250;10,93;108;53;161;;;NA
12;ANITA GARIBALDI;4201000;-51,07966;-27,7306;4201000;Anita Garibaldi;8627;12,95;235;104;339;;;NA
13;ANITÁPOLIS;4201109;-49,13958;-27,87996;4201109;Anitápolis;3214;10,73;93;29;122;;;NA
14;ANTÔNIO CARLOS;4201208;-48,83162;-27,49735;4201208;Antônio Carlos;7455;4,75;177;151;328;;;NA
15;APIÚNA;4201257;-49,36427;-27,12369;4201257;Apiúna;9605;6,85;232;94;326;;;NA
16;ARABUTÃ;4201273;-52,18124;-27,14089;4201273;Arabutã;4193;4,46;63;60;123;;;NA
17;ARAQUARI;4201307;-48,75818;-26,46193;4201307;Araquari;24814;7,98;591;383;974;;1;IFC
18;ARARANGUÁ;4201406;-49,47139;-28,94207;4201406;Araranguá;61339;5,61;1257;793;2050;1;;IFSC
19;ARMAZÉM;4201505;-49,01512;-28,23768;4201505;Armazém;7730;6,87;91;71;162;;;NA
20;ARROIO TRINTA;4201604;-51,33678;-26,92117;4201604;Arroio Trinta;3500;5,54;61;58;119;;;NA
21;ARVOREDO;4201653;-52,44223;-27,07096;4201653;Arvoredo;2256;10,1;50;28;78;;;NA
22;ASCURRA;4201703;-49,39563;-26,97336;4201703;Ascurra;7419;5,18;150;102;252;;;NA
23;ATALANTA;4201802;-49,74211;-27,43716;4201802;Atalanta;3300;4,8;72;37;109;;;NA
24;AURORA;4201901;-49,59009;-27,32933;4201901;Aurora;5552;6,05;126;78;204;;;NA
25;BALNEÁRIO ARROIO DO SILVA;4201950;-49,47479;-29,01916;4201950;Balneário Arroio do Silva;9590;6,33;190;63;253;;;NA
26;BALNEÁRIO BARRA DO SUL;4202057;-48,65359;-26,44623;4202057;Balneário Barra do Sul;8423;4,89;204;82;286;;;NA
27;BALNEÁRIO CAMBORIÚ;4202008;-48,62143;-27,00453;4202008;Balneário Camboriú;108107;2,68;1513;1178;2691;;;NA
28;BALNEÁRIO GAIVOTA;4202073;-49,61536;-29,15308;4202073;Balneário Gaivota;8244;7,49;129;67;196;;;NA
29;BALNEÁRIO PIÇARRAS;4212809;-48,73308;-26,75928;4212809;Balneário Piçarras;17074;6,33;354;210;564;;;NA
30;BALNEÁRIO RINCÃO;4220000;-49,25425;-28,82679;4220000;Balneário Rincão;;;;;0;;;NA
31;BANDEIRANTE;4202081;-53,64799;-26,76846;4202081;Bandeirante;2906;8,74;57;25;82;;;NA
32;BARRA BONITA;4202099;-53,42457;-26,66782;4202099;Barra Bonita;1878;13,37;29;29;58;;;NA
33;BARRA VELHA;4202107;-48,72695;-26,66205;4202107;Barra Velha;22403;5,81;460;218;678;;;NA
34;BELA VISTA DO TOLDO;4202131;-50,48776;-26,41811;4202131;Bela Vista do Toldo;6004;5,96;127;110;237;;;NA
35;BELMONTE;4202156;-53,61787;-26,85654;4202156;Belmonte;2635;9,81;65;36;101;;;NA
36;BENEDITO NOVO;4202206;-49,43529;-26,80063;4202206;Benedito Novo;10331;5,16;193;85;278;;;NA
37;BIGUAÇU;4202305;-48,69437;-27,43341;4202305;Biguaçu;58238;5,74;1302;538;1840;;;NA
38;BLUMENAU;4202404;-49,09703;-26,88501;4202404;Blumenau;309214;3,08;5343;2982;8325;;;NA
39;BOCAINA DO SUL;4202438;-49,90944;-27,763;4202438;Bocaina do Sul;3290;11,47;35;44;79;;;NA
40;BOM JARDIM DA SERRA;4202503;-49,65269;-28,36097;4202503;Bom Jardim da Serra;4400;10,33;128;39;167;;;NA
41;BOM JESUS;4202537;-52,39075;-26,7399;4202537;Bom Jesus;2526;10,26;74;25;99;;;NA
42;BOM JESUS DO OESTE;4202578;-53,0952;-26,68338;4202578;Bom Jesus do Oeste;2132;9,06;31;29;60;;;NA
43;BOM RETIRO;4202602;-49,56348;-27,78506;4202602;Bom Retiro;8942;11,18;219;75;294;;;NA
44;BOMBINHAS;4202453;-48,52117;-27,17274;4202453;Bombinhas;14312;4,74;305;153;458;;1;IFC
45;BOTUVERÁ;4202701;-49,1236;-27,21841;4202701;Botuverá;4468;6,15;68;56;124;;;NA
46;BRAÇO DO NORTE;4202800;-49,14283;-28,24091;4202800;Braço do Norte;29018;4,37;637;350;987;;;NA
47;BRAÇO DO TROMBUDO;4202859;-49,90328;-27,36839;4202859;Braço do Trombudo;3457;4,27;52;44;96;;;NA
48;BRUNÓPOLIS;4202875;-50,84525;-27,3467;4202875;Brunópolis;2852;13,66;43;36;79;;;NA
49;BRUSQUE;4202909;-48,90971;-27,1247;4202909;Brusque;105495;4;1776;1187;2963;;;NA
50;CAÇADOR;4203006;-51,08546;-26,76255;4203006;Caçador;70735;7,2;1571;700;2271;1;;IFSC
51;CAIBI;4203105;-53,26317;-27,02429;4203105;Caibi;6218;8,64;150;74;224;;1;IFC
52;CALMON;4203154;-51,00715;-26,62142;4203154;Calmon;3380;11,21;138;34;172;;;NA
53;CAMBORIÚ;4203204;-48,70885;-27,07087;4203204;Camboriú;62289;5,78;1102;770;1872;;;NA
54;CAMPO ALEGRE;4203303;-49,21718;-26,12029;4203303;Campo Alegre;11748;5,45;253;128;381;;1;IFC
55;CAMPO BELO DO SUL;4203402;-50,77168;-27,84682;4203402;Campo Belo do Sul;7486;14,61;199;75;274;;;NA
56;CAMPO ERÊ;4203501;-53,13004;-26,45029;4203501;Campo Erê;9370;13,65;179;157;336;;;NA
57;CAMPOS NOVOS;4203600;-51,24483;-27,41311;4203600;Campos Novos;32829;7,39;605;278;883;;;NA
58;CANELINHA;4203709;-48,80257;-27,23461;4203709;Canelinha;10603;9,37;227;127;354;;;NA
59;CANOINHAS;4203808;-50,53343;-26,2483;4203808;Canoinhas;52775;5,8;1078;853;1931;1;;IFSC
60;CAPÃO ALTO;4203253;-50,60645;-28,06239;4203253;Capão Alto;2753;10,11;56;18;74;;;NA
61;CAPINZAL;4203907;-51,63101;-27,41202;4203907;Capinzal;20771;6,35;439;274;713;;;NA
62;CAPIVARI DE BAIXO;4203956;-48,94353;-28,45542;4203956;Capivari de Baixo;21689;5,94;359;176;535;;;NA
